OBJECTID,2010 Census Block Group ID,Registrants,Total Damaged (any type),Registrants w/o Inspection,Damaged w/o Flooding,Basement Flooded up to 2 Feet,Basement Flooded 2 Feet or More,First Floor Flooded up to 1 Foot,First Floor Flooded 1 to 4 Feet,Living Space Flooded 4 Feet or More,Damaged Owners Single Family,Damaged Owners Multifamily,Damaged Owners Missing Building Type,Damaged Single Family,Damaged Multifamily,Damaged Renters Missing Building Type,Uninsured Owners with Damage,Insured Owners with Damage,Total Housing Units,Seasonal Housing Units,Percent Non-Seasonal Damaged,Shape__Area,Shape__Length
239,340130047003,61,10,51,7,3,0,0,0,0,10,0,0,0,0,0,4,6,327,0,3.1,194269,1895.48190421296
240,340170068001,138,13,125,5,5,2,1,0,0,3,0,0,10,0,0,2,1,588,1,2.2,345420.81640625,2441.00824025948
241,340170059004,268,140,128,9,46,69,2,12,2,112,2,0,20,6,0,101,13,960,2,14.6,405869.70703125,3219.23570844398
242,340170060002,180,17,163,10,6,0,1,0,0,9,0,0,3,5,0,4,5,850,2,2,322594.17578125,2568.06941404965
243,340170060001,195,21,174,12,6,0,2,0,1,12,1,0,4,4,0,8,5,855,3,2.5,343529.4453125,2676.28852615939
244,340170061004,173,66,107,8,3,48,0,2,5,43,0,0,22,0,0,37,6,723,0,9.1,367270.4375,2745.89836972644
245,340170061005,399,321,78,7,38,207,4,35,30,252,0,0,68,0,0,170,82,689,6,47,292200.0234375,2470.31242999796
246,340170061003,94,12,82,10,2,0,0,0,0,8,2,0,2,0,0,2,8,535,0,2.2,231623.7421875,2044.84456952652
247,340170062002,154,18,136,13,3,0,2,0,0,12,0,0,4,2,0,2,10,744,1,2.4,220270.94140625,2088.84047928644
248,340170062001,151,11,140,6,4,0,1,0,0,7,1,0,0,3,0,3,5,797,4,1.4,252562.296875,2299.18475866571
249,340170063003,196,19,177,13,5,0,0,0,1,13,0,0,3,3,0,6,7,892,1,2.1,318035.89453125,2348.44821682116
250,340170063001,109,16,93,13,3,0,0,0,0,6,0,0,4,6,0,3,3,552,1,2.9,384671.32421875,2502.74025687564
251,340130043001,84,10,74,6,2,1,1,0,0,3,0,0,6,1,0,1,2,530,0,1.9,265583.43359375,2326.98282423609
252,340130045004,94,14,80,10,3,0,0,0,1,6,1,0,5,2,0,3,4,446,1,3.1,251159.72265625,2008.98564327466
253,340130120001,83,12,71,10,2,0,0,0,0,7,0,0,1,4,0,2,5,367,0,3.3,478829.8515625,4254.97127269627
